station_id;station_name;observation_at;variable_type;value_numeric;value_text;unit;downloaded_at
300000108;Cavallino Treporti;2026-07-17T00:05:00;PREC;0.0;0.0;mm;2026-07-19T14:38:15+02:00
300000108;Cavallino Treporti;2026-07-17T00:10:00;DVENTO10M;35.0;35;gradi;2026-07-19T14:38:15+02:00
300000108;Cavallino Treporti;2026-07-17T00:10:00;PREC;0.0;0.0;mm;2026-07-19T14:38:15+02:00
300000108;Cavallino Treporti;2026-07-17T00:10:00;RADSOL;0.0;0.000;MJ/m2;2026-07-19T14:38:15+02:00
300000108;Cavallino Treporti;2026-07-17T00:10:00;TARIA2M;24.5;24.5;°C;2026-07-19T14:38:15+02:00
300000108;Cavallino Treporti;2026-07-17T00:10:00;UMID2M;97.0;97;%;2026-07-19T14:38:15+02:00
300000108;Cavallino Treporti;2026-07-17T00:10:00;VVENTO10M;0.5;0.5;m/s;2026-07-19T14:38:15+02:00
300000108;Cavallino Treporti;2026-07-17T00:15:00;BFOGL;100.0;100;% T;2026-07-19T14:38:15+02:00
300000108;Cavallino Treporti;2026-07-17T00:15:00;PREC;0.0;0.0;mm;2026-07-19T14:38:15+02:00
300000108;Cavallino Treporti;2026-07-17T00:15:00;VISIB;16000.0;16000;m;2026-07-19T14:38:15+02:00
300000108;Cavallino Treporti;2026-07-17T00:20:00;DVENTO10M;26.0;26;gradi;2026-07-19T14:38:15+02:00
300000108;Cavallino Treporti;2026-07-17T00:20:00;PREC;0.0;0.0;mm;2026-07-19T14:38:15+02:00
300000108;Cavallino Treporti;2026-07-17T00:20:00;RADSOL;0.0;0.000;MJ/m2;2026-07-19T14:38:15+02:00
300000108;Cavallino Treporti;2026-07-17T00:20:00;TARIA2M;24.4;24.4;°C;2026-07-19T14:38:15+02:00
300000108;Cavallino Treporti;2026-07-17T00:20:00;UMID2M;98.0;98;%;2026-07-19T14:38:15+02:00
300000108;Cavallino Treporti;2026-07-17T00:20:00;VVENTO10M;0.3;0.3;m/s;2026-07-19T14:38:15+02:00
300000108;Cavallino Treporti;2026-07-17T00:25:00;PREC;0.0;0.0;mm;2026-07-19T14:38:15+02:00
300000108;Cavallino Treporti;2026-07-17T00:30:00;BFOGL;100.0;100;% T;2026-07-19T14:38:15+02:00
300000108;Cavallino Treporti;2026-07-17T00:30:00;DVENTO10M;294.0;294;gradi;2026-07-19T14:38:15+02:00
300000108;Cavallino Treporti;2026-07-17T00:30:00;PREC;0.0;0.0;mm;2026-07-19T14:38:15+02:00
300000108;Cavallino Treporti;2026-07-17T00:30:00;PRESS;1015.5;1015.5;hPa;2026-07-19T14:38:15+02:00
300000108;Cavallino Treporti;2026-07-17T00:30:00;RADSOL;0.0;0.000;MJ/m2;2026-07-19T14:38:15+02:00
300000108;Cavallino Treporti;2026-07-17T00:30:00;TARIA2M;24.4;24.4;°C;2026-07-19T14:38:15+02:00
300000108;Cavallino Treporti;2026-07-17T00:30:00;UMID2M;98.0;98;%;2026-07-19T14:38:15+02:00
300000108;Cavallino Treporti;2026-07-17T00:30:00;VISIB;16000.0;16000;m;2026-07-19T14:38:15+02:00
300000108;Cavallino Treporti;2026-07-17T00:30:00;VVENTO10M;0.5;0.5;m/s;2026-07-19T14:38:15+02:00
300000108;Cavallino Treporti;2026-07-17T00:35:00;PREC;0.0;0.0;mm;2026-07-19T14:38:15+02:00
300000108;Cavallino Treporti;2026-07-17T00:40:00;DVENTO10M;25.0;25;gradi;2026-07-19T14:38:15+02:00
300000108;Cavallino Treporti;2026-07-17T00:40:00;PREC;0.0;0.0;mm;2026-07-19T14:38:15+02:00
300000108;Cavallino Treporti;2026-07-17T00:40:00;RADSOL;0.0;0.000;MJ/m2;2026-07-19T14:38:15+02:00
300000108;Cavallino Treporti;2026-07-17T00:40:00;TARIA2M;24.4;24.4;°C;2026-07-19T14:38:15+02:00
300000108;Cavallino Treporti;2026-07-17T00:40:00;UMID2M;99.0;99;%;2026-07-19T14:38:15+02:00
300000108;Cavallino Treporti;2026-07-17T00:40:00;VVENTO10M;0.4;0.4;m/s;2026-07-19T14:38:15+02:00
